Row Number	State	DPD	Count
975	UTTARAKHAND	3	1
976	UTTARAKHAND	12	1
977	UTTARAKHAND	19	1
978	UTTARAKHAND	22	1
979	UTTARAKHAND	62	2
980	UTTARAKHAND	70	1
981	UTTARAKHAND	75	1
982	UTTARAKHAND	80	1
983	UTTARAKHAND	87	1
984	WEST BENGAL	1	1
985	WEST BENGAL	2	4
986	WEST BENGAL	3	1
987	WEST BENGAL	4	1
988	WEST BENGAL	6	4
989	WEST BENGAL	7	3
990	WEST BENGAL	8	2
991	WEST BENGAL	9	5
992	WEST BENGAL	10	2
993	WEST BENGAL	11	4
994	WEST BENGAL	12	1
995	WEST BENGAL	13	3
996	WEST BENGAL	14	1
997	WEST BENGAL	15	1
998	WEST BENGAL	16	1
999	WEST BENGAL	17	2
1000	WEST BENGAL	19	2
1001	WEST BENGAL	21	1
1002	WEST BENGAL	22	1
1003	WEST BENGAL	23	1
1004	WEST BENGAL	24	1
1005	WEST BENGAL	25	4
1006	WEST BENGAL	26	5
1007	WEST BENGAL	27	6
1008	WEST BENGAL	28	4
1009	WEST BENGAL	29	1
1010	WEST BENGAL	30	3
1011	WEST BENGAL	31	4
1012	WEST BENGAL	32	4
1013	WEST BENGAL	33	4
1014	WEST BENGAL	34	2
1015	WEST BENGAL	35	2
1016	WEST BENGAL	36	2
1017	WEST BENGAL	37	1
1018	WEST BENGAL	38	3
1019	WEST BENGAL	39	2
1020	WEST BENGAL	40	2
1021	WEST BENGAL	41	4
1022	WEST BENGAL	42	1
1023	WEST BENGAL	43	2
1024	WEST BENGAL	44	4
1025	WEST BENGAL	45	3
1026	WEST BENGAL	46	4
1027	WEST BENGAL	47	4
1028	WEST BENGAL	48	3
1029	WEST BENGAL	49	7
1030	WEST BENGAL	50	2
1031	WEST BENGAL	51	4
1032	WEST BENGAL	52	1
1033	WEST BENGAL	53	3
1034	WEST BENGAL	54	2
1035	WEST BENGAL	55	4
1036	WEST BENGAL	57	2
1037	WEST BENGAL	58	2
1038	WEST BENGAL	59	1
1039	WEST BENGAL	60	4
1040	WEST BENGAL	61	5
1041	WEST BENGAL	62	4
1042	WEST BENGAL	64	3
1043	WEST BENGAL	65	3
1044	WEST BENGAL	67	1
1045	WEST BENGAL	68	3
1046	WEST BENGAL	69	2
1047	WEST BENGAL	70	2
1048	WEST BENGAL	71	3
1049	WEST BENGAL	72	2
1050	WEST BENGAL	73	1
1051	WEST BENGAL	75	3
1052	WEST BENGAL	76	5
1053	WEST BENGAL	78	4
1054	WEST BENGAL	79	2
1055	WEST BENGAL	80	1
1056	WEST BENGAL	81	3
1057	WEST BENGAL	83	3
1058	WEST BENGAL	84	3
1059	WEST BENGAL	85	3
1060	WEST BENGAL	86	2
1061	WEST BENGAL	87	3
1062	WEST BENGAL	88	3
1063	WEST BENGAL	89	4
1064	WEST BENGAL	90	2
